miRNA	Estimate	StdError	tValue	pValue	Disease	nRgene
hsa-miR-181a-5p	-0.205785718971165	0.0874637617217799	-2.35281120912412	0.0191425548960322	BLCA	DRD1
hsa-miR-182-5p	-0.307563665925818	0.0575097848392972	-5.3480232413538	1.52626059865138e-07	BLCA	GABBR1
hsa-miR-15b-5p	-0.636456693279531	0.150484324071824	-4.2293886569591	2.92941058076183e-05	BLCA	GABBR1
hsa-let-7d-5p	-0.154680981930984	0.0682094724720184	-2.26773461698357	0.0239408022858339	BLCA	GABBR2
hsa-miR-15b-5p	-0.294210601352552	0.103357662676448	-2.84652916613984	0.00465522845334043	BLCA	GABRE
hsa-miR-320a	-0.247525095055533	0.0874208759660404	-2.83141860934552	0.00487618677579701	BLCA	GABRP
hsa-miR-27b-3p	-0.175421574185987	0.0683461488327185	-2.56666362599804	0.0106434501365068	BLCA	GABRP
hsa-miR-34a-5p	-0.662144624896054	0.217692536937261	-3.04165055087252	0.0025170250216137	BLCA	GRID1
hsa-let-7i-5p	-0.225965184477154	0.0792591957115169	-2.85096489370911	0.0046043306393621	BLCA	GRIK2
hsa-miR-134-5p	-0.204040241847014	0.0481176866360212	-4.24044163615855	2.82497221883687e-05	BLCA	GRIK2
hsa-miR-16-5p	-0.405333915115234	0.147500975798608	-2.74800836347457	0.00627789676339882	BLCA	GRIN1
hsa-miR-15b-5p	-0.41371190766136	0.106112998577799	-3.89878632407167	0.000114035189373359	BLCA	GRIN1
hsa-miR-15a-5p	-0.354071875194559	0.105974007919644	-3.34111997975048	0.000916018619552612	BLCA	GRIN1
hsa-miR-497-5p	-0.320579005873124	0.0917997688439781	-3.49215482685993	0.000534740745641943	BLCA	GRIN1
hsa-miR-330-5p	-0.251282824229154	0.0689657721701338	-3.64358748292206	0.000305710527481316	BLCA	GRIN1
hsa-miR-33a-5p	-0.217853490519819	0.0553056245463022	-3.93908381483751	9.6855434928274e-05	BLCA	GRM8
hsa-miR-24-3p	-0.293732879906388	0.0872328572712453	-3.36722754584369	0.000833998643194855	BLCA	HRH1
hsa-miR-29b-3p	-0.254855961716876	0.092259982232581	-2.76236734009336	0.00600925001087168	BLCA	HTR7
hsa-miR-200a-3p	-0.226365582321678	0.0765555343658616	-2.95688070361927	0.00329970531141677	BLCA	P2RY1
hsa-miR-15a-5p	-1.11169265918872	0.256160421936068	-4.33982990341174	1.83743018383782e-05	BLCA	P2RY2
hsa-miR-424-5p	-0.314210618669461	0.157577694273831	-1.99400441869292	0.0468772765781626	BLCA	P2RY2
hsa-miR-134-5p	-0.356015810408711	0.17796087062106	-2.00052859466388	0.0461656625404808	BLCA	P2RY2
hsa-miR-497-5p	-0.332719159739647	0.102432054728227	-3.24819374777182	0.00120177331126801	BRCA	ADORA2A
hsa-miR-17-5p	-0.204601720665304	0.0441661793427855	-4.63254290296056	4.11116775228795e-06	BRCA	ADRA1B
hsa-miR-96-5p	-0.344518820458821	0.0639847633837725	-5.38438844248654	9.13991535274283e-08	BRCA	ADRA2C
hsa-let-7d-5p	-0.187714218539581	0.0436206174330075	-4.30333703615893	1.85942440463844e-05	BRCA	ADRB1
hsa-miR-199b-3p	-20.2178068065476	4.27533864600779	-4.7289369288738	2.60419135476303e-06	BRCA	ADRB1
hsa-let-7g-5p	-0.322717325206296	0.141034867184121	-2.28820951619707	0.0223444446260527	BRCA	ADRB2
hsa-miR-16-5p	-0.224896089818514	0.0541482507466893	-4.15333989034288	3.57508448923355e-05	BRCA	CHRM3
hsa-miR-92a-3p	-0.203839565870243	0.069057357468706	-2.95174291837933	0.00323681588018829	BRCA	CHRM5
hsa-miR-148b-3p	-0.261193939945656	0.0655295098695745	-3.9858979636124	7.23255461989866e-05	BRCA	CHRNB2
hsa-miR-15a-5p	-0.208465862666377	0.0281402936766015	-7.40809122542011	2.81079534549417e-13	BRCA	CHRNE
hsa-miR-182-5p	-0.297658064935429	0.0550615920908311	-5.4059109741034	8.14581074276229e-08	BRCA	GABBR1
hsa-miR-497-5p	-0.497563080439332	0.0838306038475724	-5.93533933435623	4.09790004308964e-09	BRCA	GABBR1
hsa-miR-381-3p	-0.214855451011788	0.0471628452345691	-4.55560833836854	5.90242012795656e-06	BRCA	GABRB3
hsa-miR-23a-3p	-0.470505321900424	0.100323918881657	-4.68986187088082	3.13370169102581e-06	BRCA	GABRB3
hsa-miR-200c-3p	-0.241372953964035	0.0396659032094316	-6.08514957265973	1.685317630159e-09	BRCA	GABRB3
hsa-miR-429	-0.277917850115474	0.0531024125276835	-5.2336200350707	2.04555538936468e-07	BRCA	GABRB3
hsa-miR-27b-3p	-0.279627374133273	0.0906377453769253	-3.08510955309422	0.00209359402272489	BRCA	GABRB3
hsa-miR-16-5p	-0.303507596393769	0.0423629632939957	-7.1644562323804	1.5578039254498e-12	BRCA	GABRE
hsa-miR-497-5p	-0.170197093075254	0.0512175694112798	-3.32302167071932	0.000924229353666362	BRCA	GABRE
hsa-miR-27a-3p	-0.189749190616785	0.0450559230137426	-4.21141501326939	2.77698498951815e-05	BRCA	GABRP
hsa-let-7i-5p	-0.185073066429855	0.0404365691282905	-4.57687361760801	5.35262309256504e-06	BRCA	GRIK2
